	Campesino	Silvopastoril
N	6	6
Jusgil	6	6
Jusxyl	0	1
Altpar	2	3
Schfas	0	1
Apique	0	1
Twebru	6	4
Valgab	4	2
Prosp	0	1
Syngri	2	0
Ampcyn	0	1
Tabnod	1	3
Brourb	1	2
Tilcap	3	0
Tilcas	1	2
Tildur	3	3
Tilmin	5	4
Ceraet	4	2
Cerfro	2	1
Clebau	0	1
Ste	1	0
Capata	1	1
Mayboa	5	4
Mayvit	4	4
Monspi	4	3
Aphlin	1	2
Berarg	3	2
Ditmon	1	2
Eupber	0	2
Trager	3	1
Gallat	6	5
Geodec	1	4
Mimdet	3	3
Mimcar	6	6
Parpra	6	6
Profle	5	5
Protor	6	5
Sengil	0	2
Senaph	6	6
Vacaro	4	1
Ligcun	0	3
Corarg	4	3
Triusi	6	6
Ayecor	1	2
Malcor	3	3
Psevir	0	1
Siddic	5	6
Aricir	6	6
Cencil	0	1
Chlcil	2	2
Digcal	0	1
Enndes	1	0
Goupar	2	2
Megmax	4	1
Neolop	3	1
Pancol	3	0
Papcae	3	2
Papphi	0	1
Setpam	2	2
Spopyr	5	5
Trimen	2	4
Uromos	4	4
Conmic	0	2
Sarmis	1	0
Carhal	6	5
Selsel	3	3
Cascoc	6	6
Capcha	2	0
Lycchi	0	1
Lyccil	3	1
Lycelo	0	1
Lycten	3	1
Solatr	1	2
Solela	1	0
Liptur	3	0
Pomser	1	0
Bulfol	0	1
Gonbon	1	0
Lanmeg	0	1
Lardiv	0	1
