	C-A1	C-A2	C-A3	C-E7	C-E8	C-E9	S-C10	S-C11	S-C12	S-G4	S-G5	S-G6
Jusgil	0	0	0	0	0	0	0	0	0	0	0	4
Jusxyl	0	0	0	0	1	1	0	0	0	1	1	1
Altpar	0	0	0	0	0	0	0	0	4	0	0	0
Schfas	0	0	0	0	0	0	0	0	0	0	1	0
Apique	38	16	16	16	16	16	0	0	4	16	16	4
Twebru	0	1	1	1	0	1	0	0	0	0	1	4
Valgab	0	0	0	0	0	0	0	0	0	0	1	0
Prosp	4	4	0	0	0	0	0	0	0	0	0	0
Syngri	0	0	0	0	0	0	0	4	0	0	0	0
Ampcyn	1	0	0	0	0	0	1	1	1	0	0	0
Tabnod	0	0	1	0	0	0	1	0	0	0	0	1
Brourb	0	16	0	4	0	1	0	0	0	0	0	0
Tilcap	0	0	1	0	0	0	0	0	0	0	1	4
Tilcas	1	0	1	0	0	4	0	0	0	4	4	4
Tildur	4	1	4	4	0	4	16	0	0	4	4	4
Tilmin	4	4	4	0	0	1	0	0	0	0	4	4
Ceraet	0	4	0	0	1	0	0	0	0	0	1	0
Cerfro	0	0	0	0	0	0	0	0	0	0	1	0
Clebau	1	0	0	0	0	0	0	0	0	0	0	0
Ste	0	0	0	0	0	1	0	0	0	0	1	0
Capata	38	38	16	0	4	4	0	0	4	16	16	4
Mayboa	0	16	0	4	4	4	4	0	4	4	16	0
Mayvit	0	0	16	4	16	16	0	0	0	4	16	16
Monspi	4	0	0	0	0	0	0	0	0	0	1	4
Aphlin	0	0	4	4	0	1	0	1	0	0	1	0
Berarg	0	0	0	4	0	0	4	4	0	0	0	0
Ditmon	0	0	0	0	0	0	0	1	1	0	0	0
Eupber	1	4	0	1	0	0	0	0	0	0	0	1
Trager	4	4	4	4	1	1	4	1	4	4	4	0
Gallat	0	0	0	4	0	0	16	0	4	0	4	1
Geodec	0	0	0	4	1	4	0	0	0	4	16	4
Mimdet	16	38	4	16	16	16	4	4	4	16	16	16
Mimcar	38	16	63	16	16	16	4	4	4	38	63	38
Parpra	4	16	0	16	4	16	4	4	4	16	0	4
Profle	16	4	16	16	16	38	4	16	16	38	16	0
Protor	0	0	0	0	0	0	0	0	0	1	0	1
Sengil	38	16	63	63	63	38	16	16	16	38	38	16
Senaph	4	1	16	4	0	0	0	1	0	0	0	0
Vacaro	0	0	0	0	0	0	1	4	4	0	0	0
Ligcun	4	0	0	4	4	4	4	0	4	0	4	0
Corarg	4	4	4	4	4	4	4	4	4	4	4	4
Triusi	0	0	0	0	0	16	0	1	0	0	0	1
Ayecor	0	1	0	4	1	0	1	4	0	0	4	0
Malcor	0	0	0	0	0	0	0	1	0	0	0	0
Psevir	4	4	0	4	4	4	4	4	4	4	4	4
Siddic	4	4	4	4	1	4	1	4	4	4	4	4
Aricir	0	0	0	0	0	0	4	0	0	0	0	0
Cencil	1	0	0	0	1	0	0	38	38	0	0	0
Chlcil	0	0	0	0	0	0	0	0	1	0	0	0
Digcal	0	4	0	0	0	0	0	0	0	0	0	0
Enndes	4	0	0	0	0	1	0	4	1	0	0	0
Goupar	4	16	4	0	4	0	0	0	0	0	4	0
Megmax	4	0	1	0	4	0	0	0	4	0	0	0
Neolop	4	4	1	0	0	0	0	0	0	0	0	0
Pancol	0	0	0	4	1	4	0	63	63	0	0	0
Papcae	0	0	0	0	0	0	63	0	0	0	0	0
Papphi	1	4	0	0	0	0	38	0	0	0	0	1
Setpam	4	16	4	4	4	0	16	0	4	4	4	4
Spopyr	4	1	0	0	0	0	38	0	0	1	4	4
Trimen	4	16	4	0	0	16	4	0	0	4	4	4
Uromos	0	0	0	0	0	0	0	1	1	0	0	0
Conmic	0	4	0	0	0	0	0	0	0	0	0	0
Sarmis	4	1	16	16	16	16	4	4	16	0	16	4
Carhal	4	4	0	1	0	0	0	0	4	1	0	4
Selsel	63	63	88	4	4	4	4	4	1	88	88	16
Cascoc	0	16	1	0	0	0	0	0	0	0	0	0
Capcha	0	0	0	0	0	0	0	0	1	0	0	0
Lycchi	0	0	0	4	38	4	0	0	0	0	4	0
Lyccil	0	0	0	0	0	0	0	0	0	0	0	1
Lycelo	1	1	4	0	0	0	1	0	0	0	0	0
Lycten	0	0	1	0	0	0	0	0	0	0	1	1
Solatr	1	0	0	0	0	0	0	0	0	0	0	0
Solela	1	0	0	0	1	1	0	0	0	0	0	0
Liptur	0	4	0	0	0	0	0	0	0	0	0	0
Pomser	0	0	0	0	0	0	4	0	0	0	0	0
Bulfol	16	0	0	0	0	0	0	0	0	0	0	0
Gonbon	0	0	0	0	0	0	0	0	4	0	0	0
Lanmeg	0	0	0	0	0	0	0	1	0	0	0	0
Lardiv	16	38	16	4	16	4	0	1	1	4	16	4
